Algorithm,Best_Score,Time_Taken,Seating_Plan
Simulated Annealing,38,4.183978796005249,"Table([Guest33, Guest48, Guest49])
Table([Guest12, Guest31, Guest30])
Table([Guest45, Guest40, Guest43])
Table([Guest50, Guest34, Guest19])
Table([Guest26, Guest27, Guest23])
Table([Guest4, Guest41, Guest18])
Table([Guest22, Guest17, Guest15])
Table([Guest24, Guest6, Guest25])
Table([Guest16, Guest38, Guest36])
Table([Guest35, Guest3, Guest42])
Table([Guest39, Guest44, Guest37])
Table([Guest21, Guest14, Guest8])
Table([Guest47, Guest9, Guest46])
Table([Guest29, Guest11])
Table([Guest32, Guest13, Guest28])
Table([Guest2, Guest20, Guest1])
Table([Guest10, Guest5, Guest7])"
Hill Climbing,114,1.0336475372314453,"Table([Guest33, Guest32, Guest35])
Table([Guest30, Guest48, Guest49])
Table([Guest21, Guest23, Guest20])
Table([Guest31, Guest25, Guest24])
Table([Guest17, Guest10, Guest16])
Table([Guest2, Guest1, Guest50])
Table([Guest7, Guest6, Guest11])
Table([Guest26, Guest27, Guest43])
Table([Guest46, Guest47, Guest22])
Table([Guest8, Guest44, Guest45])
Table([Guest4, Guest3, Guest5])
Table([Guest38, Guest15, Guest39])
Table([Guest18, Guest19, Guest14])
Table([Guest13, Guest42, Guest12])
Table([Guest36, Guest37, Guest9])
Table([Guest34, Guest40, Guest41])
Table([Guest28, Guest29])"
Greedy,12,0.0005736351013183594,"[Table([Guest4, Guest16, Guest1]), Table([Guest44, Guest50, Guest42]), Table([Guest36, Guest34, Guest22]), Table([Guest28, Guest2, Guest10]), Table([Guest20, Guest14, Guest3]), Table([Guest12, Guest9, Guest49]), Table([Guest6, Guest41, Guest33]), Table([Guest48, Guest25, Guest7]), Table([Guest38, Guest47, Guest39]), Table([Guest30, Guest31, Guest23]), Table([Guest24, Guest15, Guest43]), Table([Guest18, Guest35, Guest27]), Table([Guest8, Guest19, Guest11]), Table([Guest46, Guest5, Guest29]), Table([Guest40, Guest17, Guest37]), Table([Guest32, Guest21, Guest45]), Table([Guest26, Guest13])]"
Tabu Search,112,0.9941325187683105,"Table([Guest24, Guest25, Guest43])
Table([Guest11, Guest42, Guest10])
Table([Guest34, Guest35, Guest23])
Table([Guest19, Guest18, Guest14])
Table([Guest21, Guest20, Guest40])
Table([Guest45, Guest44, Guest38])
Table([Guest1, Guest2, Guest50])
Table([Guest6, Guest7, Guest41])
Table([Guest49, Guest48, Guest8])
Table([Guest46, Guest47, Guest33])
Table([Guest4, Guest5, Guest3])
Table([Guest29, Guest28, Guest9])
Table([Guest36, Guest37, Guest22])
Table([Guest12, Guest13, Guest15])
Table([Guest32, Guest26, Guest27])
Table([Guest30, Guest31, Guest39])
Table([Guest17, Guest16])"
Brute Force,4,191.52744245529175,"Table([Guest10, Guest24, Guest47])
Table([Guest17, Guest32, Guest5])
Table([Guest2, Guest23, Guest6])
Table([Guest26, Guest30, Guest12])
Table([Guest4, Guest7, Guest18])
Table([Guest45, Guest20, Guest36])
Table([Guest41, Guest16, Guest48])
Table([Guest27, Guest21, Guest29])
Table([Guest37, Guest33, Guest39])
Table([Guest19, Guest46, Guest43])
Table([Guest28, Guest49, Guest42])
Table([Guest38, Guest25, Guest13])
Table([Guest44, Guest22, Guest11])
Table([Guest35, Guest31, Guest8])
Table([Guest15, Guest50, Guest1])
Table([Guest9, Guest14])
Table([Guest3, Guest34, Guest40])"
Genetic Algorithm,62,8.938462257385254,"Table([Guest29, Guest28, Guest12])
Table([Guest30, Guest2, Guest49])
Table([Guest13, Guest12, Guest44])
Table([Guest37, Guest28, Guest29])
Table([Guest39, Guest38, Guest44])
Table([Guest38, Guest1, Guest41])
Table([Guest27, Guest26, Guest17])
Table([Guest31, Guest20, Guest30])
Table([Guest49, Guest48, Guest1])
Table([Guest33, Guest27, Guest48])
Table([Guest21, Guest6, Guest7])
Table([Guest12, Guest5, Guest31])
Table([Guest46, Guest1, Guest34])
Table([Guest22, Guest25, Guest23])
Table([Guest14, Guest44, Guest15])
Table([Guest44, Guest46, Guest22])
Table([Guest15, Guest47, Guest46])"
